t1,t2,t3,ds1,ds2,ds3,df1,df2,df3,PhaseNoise,QuantEff,Bandwidth,MaxCurrent,DecayTime
183,982,1898,6.16E+18,1.05E+15,1.00E+17,9.32E+17,1.29E+14,2.51E+17,-171.1027099,0.589504685,21.81819771,0.00043027,32.19044747
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.57E+17,1.28E+14,3.00E+17,-171.121732,0.595092362,21.82750445,0.000430562,32.19044747
195,997,1993,8.00E+18,1.35E+15,1.00E+17,4.25E+17,2.25E+14,1.90E+17,-171.1222463,0.602313844,21.76991373,0.000437414,32.19044747
180,939,2000,8.00E+18,2.87E+15,1.08E+17,5.19E+17,5.07E+14,1.58E+17,-170.9783003,0.587759656,21.81164633,0.000421002,34.66559006
100,932,2000,2.96E+18,1.00E+15,3.24E+17,7.68E+17,3.04E+14,2.02E+17,-170.6602564,0.573004623,21.74666005,0.000403715,34.66559006
197,959,1500,3.00E+18,2.40E+15,5.05E+17,3.09E+17,3.32E+14,1.86E+17,-170.8399093,0.558358082,21.65048546,0.000426714,34.66559006
198,970,2000,6.02E+18,1.00E+15,1.00E+17,5.58E+17,1.28E+14,3.00E+17,-171.1217192,0.595088052,21.827512,0.000430559,32.19044747
256,1175,883,2.43E+18,3.4E+14,4.43E+17,2.43E+18,3.92E+15,2.89E+17,-170.7046365,0.512961406,20.32874891,0.000474358,35.16205959
502,977,1000,1.58E+18,1.53E+15,2.48E+17,1.80E+18,1.05E+15,1.67E+18,-170.8833614,0.483223108,21.31518216,0.00045477,34.66559006
208,976,1387,2.98E+18,2.36E+15,4.85E+17,5.59E+17,2.88E+14,2.12E+17,-170.8786197,0.550959081,21.63034256,0.000431133,34.66559006
256,937,1387,2.69E+18,3.49E+15,4.21E+17,3.07E+17,2.87E+14,1.98E+17,-170.8758431,0.546614031,21.66680043,0.00042992,34.66559006
588,801,884,1.66E+18,3.25E+15,2.87E+17,2.23E+18,1.36E+15,1.14E+18,-169.9072642,0.429772029,20.48024899,0.00042156,39.4752575
200,970,1997,5.97E+18,1.00E+15,1.00E+17,5.65E+17,1.27E+14,3.00E+17,-171.1241446,0.594981753,21.82732423,0.000430813,32.19044747
194,925,707,6.77E+17,5.54E+14,1.24E+17,1.24E+17,1.28E+14,2.43E+18,-170.6677467,0.459810935,21.64441224,0.000415239,35.16205959
200,987,2000,8.00E+18,1.92E+15,1.00E+17,4.35E+17,2.47E+14,1.75E+17,-171.1053822,0.600814999,21.77119618,0.000435807,32.19044747
